time,H_ewma,slope_14d,slope_28d,TTT_dni,TTT_low,TTT_high,risk_level
2015-03-04 10:00:00,0.053471764657221144,,,,,,Green
2015-03-04 11:00:00,0.05344440524576413,,,,,,Green
2015-03-04 12:00:00,0.05327651019375484,,,,,,Green
2015-03-04 13:00:00,0.05198228339504998,,,,,,Green
2015-03-04 14:00:00,0.04953588730530389,,,,,,Green
2015-03-04 16:00:00,0.047889780762393315,,,,,,Green
2015-03-04 17:00:00,0.04655952486932526,,,,,,Green
2015-03-04 18:00:00,0.04556165617056241,,,,,,Green
2015-03-04 19:00:00,0.04464787269814945,,,,,,Green
2015-03-04 20:00:00,0.04381198112424514,,,,,,Green
2015-03-04 21:00:00,0.04308376539040898,,,,,,Green
2015-03-04 22:00:00,0.04255410031098902,,,,,,Green
2015-03-04 23:00:00,0.04191692844607845,,,,,,Green
2015-03-05 00:00:00,0.04117196003968904,,,,,,Green
2015-03-05 01:00:00,0.0403679028362849,,,,,,Green
2015-03-05 02:00:00,0.039407094584329685,,,,,,Green
2015-03-05 03:00:00,0.03863473475178797,,,,,,Green
2015-03-05 04:00:00,0.03788157872806769,,,,,,Green
2015-03-05 05:00:00,0.03708244318308012,,,,,,Green
2015-03-05 06:00:00,0.03620462290252135,,,,,,Green
2015-03-05 07:00:00,0.03525935267442443,,,,,,Green
2015-03-05 08:00:00,0.03447802972051839,,,,,,Green
2015-03-05 09:00:00,0.03376578497525945,,,,,,Green
2015-03-05 10:00:00,0.03311781657335884,,,,,,Green
2015-03-05 11:00:00,0.03251386368347464,,,,,,Green
2015-03-05 12:00:00,0.03196994904543546,,,,,,Green
2015-03-05 13:00:00,0.03140496947410288,,,,,,Green
2015-03-05 14:00:00,0.030917056802927268,,,,,,Green
2015-03-05 15:00:00,0.030611689872472824,,,,,,Green
2015-03-05 16:00:00,0.030228569227148543,,,,,,Green
2015-03-05 17:00:00,0.02989398652128289,,,,,,Green
2015-03-05 18:00:00,0.02960281610553893,,,,,,Green
2015-03-05 19:00:00,0.029559654410627093,,,,,,Green
2015-03-05 20:00:00,0.0293052702062008,,,,,,Green
2015-03-05 21:00:00,0.029197429015627264,,,,,,Green
2015-03-05 22:00:00,0.02897745866829561,,,,,,Green
2015-03-05 23:00:00,0.028451851296601334,,,,,,Green
2015-03-06 00:00:00,0.02780358289898203,,,,,,Green
2015-03-06 01:00:00,0.0272002775398603,,,,,,Green
2015-03-06 02:00:00,0.026636812538168117,,,,,,Green
2015-03-06 03:00:00,0.026170445638340572,,,,,,Green
2015-03-06 04:00:00,0.025766987287286082,,,,,,Green
2015-03-06 05:00:00,0.025321358629151764,,,,,,Green
2015-03-06 06:00:00,0.024835790589312307,,,,,,Green
2015-03-06 07:00:00,0.02438403117014541,,,,,,Green
2015-03-06 08:00:00,0.023943085575884423,,,,,,Green
2015-03-06 09:00:00,0.023697138345224366,,,,,,Green
2015-03-06 10:00:00,0.023571483525400172,-0.0006160924882942344,-0.0006160924882942344,2.95910974784923,2.791982018317324,3.1475199372097262,Green
2015-03-06 11:00:00,0.02344378578002838,-0.000608286796057143,-0.000608286796057143,2.9883347132968225,2.8192104337841943,3.1790454773654813,Green
2015-03-06 12:00:00,0.023350903951142123,-0.0006001787601015991,-0.0006001787601015991,3.0222570218696387,2.850141692265001,3.2164958728092077,Green
2015-03-06 13:00:00,0.023318085694445434,-0.000591715335054482,-0.000591715335054482,3.0631740253357154,2.886825787099623,3.2624692908526742,Green
2015-03-06 14:00:00,0.023188150138507297,-0.0005831921089598392,-0.0005831921089598392,3.0986582902457127,2.9180343005299605,3.3031186961040877,Green
2015-03-06 15:00:00,0.02315288753433343,-0.0005744573281505713,-0.0005744573281505713,3.143216562096145,2.957151746554187,3.354268046367414,Green
2015-03-06 16:00:00,0.022935731488573165,-0.0005659370986416561,-0.0005659370986416561,3.174550005290627,2.983975024569178,3.391128295747085,Green
2015-03-06 17:00:00,0.022639792426727083,-0.0005577857788984037,-0.0005577857788984037,3.198835274659153,3.004615978483542,3.419898564242821,Green
2015-03-06 18:00:00,0.02253376999157808,-0.0005496317558830151,-0.0005496317558830151,3.238253985014886,3.039216850900237,3.465187790965082,Green
2015-03-06 19:00:00,0.02224182603721494,-0.0005418372907740175,-0.0005418372907740175,3.2623869239822176,3.059896300820293,3.4935766239249415,Green
2015-03-06 20:00:00,0.021823984301983193,-0.0005346000799864622,-0.0005346000799864622,3.2739853314090506,3.069604291147862,3.5075240365086207,Green
2015-03-06 21:00:00,0.021379380200138087,-0.0005279173588718157,-0.0005279173588718157,3.280338522749842,3.0751392455771422,3.514881091988409,Green
2015-03-06 22:00:00,0.020939662777456305,-0.0005217325794152739,-0.0005217325794152739,3.2841079078815927,3.0788632733324737,3.518671227549651,Green
2015-03-06 23:00:00,0.02057852277791198,-0.0005158798480104,-0.0005158798480104,3.292197972892924,3.0869548029172,3.526677072196307,Green
2015-03-07 00:00:00,0.020042130307233258,-0.0005106021599133803,-0.0005106021599133803,3.2824555694832824,3.0790083581786054,3.514690739501789,Green
2015-03-07 01:00:00,0.019492167578906608,-0.0005058654174849399,-0.0005058654174849399,3.2678924725404976,3.067113149030394,3.4967999480406142,Green
2015-03-07 02:00:00,0.019147959396683883,-0.0005013251679019096,-0.0005013251679019096,3.268879935119523,3.069871855796695,3.495478467155788,Green
2015-03-07 03:00:00,0.018828263647165135,-0.0004969369621606479,-0.0004969369621606479,3.2709402798851586,3.0736485910364575,3.4952967675835214,Green
2015-03-07 04:00:00,0.01850747361629278,-0.0004926964334878203,-0.0004926964334878203,3.2719637595033113,3.076462126180909,3.4939988275787908,Green
2015-03-07 05:00:00,0.018044366609990366,-0.0004887832848401323,-0.0004887832848401323,3.2586808897670045,3.066077997104369,3.4771033026368436,Yellow
2015-03-07 06:00:00,0.01771378002361118,-0.00048500278185374803,-0.00048500278185374803,3.255680931172676,3.065352391941859,3.4712092285283362,Yellow
2015-03-07 07:00:00,0.017409631653517763,-0.0004813169651621415,-0.0004813169651621415,3.2542826724701093,3.0660813797824122,3.467099116239433,Yellow
2015-03-07 08:00:00,0.017099585973856794,-0.00047773132541837276,-0.00047773132541837276,3.251666380358822,3.065623835630149,3.4617484120493534,Yellow
2015-03-07 09:00:00,0.016721428204412785,-0.00047432258719844314,-0.00047432258719844314,3.2418155016873214,3.0584087842987695,3.4486225667628543,Yellow
2015-03-07 10:00:00,0.016149462773973423,-0.0004712988791177635,-0.0004712988791177635,3.212047577705173,3.0327075304726745,3.413931410643698,Yellow
2015-03-07 11:00:00,0.015709104208679717,-0.0004684814382421966,-0.0004684814382421966,3.1921993646167284,3.016430183427083,3.389720388093604,Yellow
2015-03-07 12:00:00,0.0152514781626596,-0.00046587339079836134,-0.00046587339079836134,3.1691408583002487,2.9971809840355363,3.362033747864096,Yellow
