time,F1,Pa,Pr,Td,Tg,Tst,Tcnd1,Tcnd2,Tgpz_a,Tgpz_b,Tgpz_v,Tgpz_g,Tturb_a,Tturb_b,Tturb_v,Tturb_g,Fr,seg,dPa,transient,resid_prism
2015-03-05 13:00:00,19.327461,285.316803,111.110252,37.126938,33.766788,53.032055,15.21,21.069,538.77,539.941,539.648,540.527,548.145,550.562,550.269,542.285,49.998039,2,-0.11035200000003442,False,
2015-03-05 14:00:00,19.329716,285.432953,112.594238,37.217525,33.810478,53.151127,15.283,21.118,541.113,542.798,538.696,541.626,548.071,550.928,549.243,543.091,49.997822,2,0.11615000000000464,False,
2015-03-05 15:00:00,19.334972,285.408997,106.155327,37.129932,33.777069,53.03548,15.259,21.118,540.381,541.113,540.601,543.604,548.291,551.44,550.781,543.164,49.998001,2,-0.023955999999998312,False,
2015-03-05 16:00:00,19.331968,285.361206,102.627884,37.011284,33.70623,52.895245,15.259,21.118,539.355,540.015,541.333,542.285,547.998,551.147,550.342,542.871,49.996727,2,-0.0477910000000179,False,
2015-03-05 17:00:00,19.333096,285.149597,105.459412,36.535534,33.122734,52.538971,15.283,21.118,539.355,541.406,540.747,541.113,546.973,550.269,549.243,541.479,49.997223,2,-0.21160899999995308,False,
2015-03-05 18:00:00,19.334221,284.937988,108.290947,36.059784,32.539234,52.182701,15.186,21.045,538.55,541.992,541.992,542.944,547.998,550.928,550.708,543.164,49.997719,2,-0.21160900000000993,False,
2015-03-05 19:00:00,19.341732,284.867615,113.513832,35.129478,31.592653,51.030102,15.259,21.069,542.065,542.871,540.747,541.626,547.266,550.562,549.609,541.846,49.998287,2,-0.07037300000001778,False,
2015-03-05 20:00:00,19.334221,284.775085,110.551201,35.317513,31.810238,51.112766,15.137,21.045,541.772,541.992,540.527,542.798,548.291,551.147,550.708,542.285,49.999859,2,-0.09253000000001066,False,
2015-03-05 21:00:00,19.338726,284.813232,103.406342,35.1464,31.719435,50.935871,15.21,21.069,540.674,542.578,542.798,543.384,548.218,551.294,550.635,542.798,49.997181,2,0.03814700000003768,False,
2015-03-05 22:00:00,19.334221,284.108093,92.366806,34.913395,31.583658,50.640762,15.063,21.021,542.358,540.601,542.505,542.432,547.925,551.221,549.976,542.432,49.997749,2,-0.705139000000031,False,
2015-03-05 23:00:00,19.322956,140.522598,16.065689,32.457211,29.485334,43.507999,7.642,12.329,542.578,542.798,543.53,545.874,534.448,539.502,539.722,535.474,49.997608,2,-143.585495,True,
2015-03-06 00:00:00,19.316196,135.058182,-10.666008,32.295734,29.967447,42.563477,7.153,11.45,543.75,544.556,542.285,544.702,541.846,548.438,548.73,543.896,49.997692,2,-5.464416,False,
2015-03-06 01:00:00,19.313192,141.929535,-4.342463,32.290169,29.925217,42.460339,7.153,11.475,542.139,543.823,543.53,545.142,542.285,547.998,548.071,543.164,49.997967,2,6.871352999999999,False,
2015-03-06 02:00:00,19.313192,162.768494,-10.808085,33.894855,30.136375,43.516994,8.887,13.574,542.065,547.412,546.46,546.68,540.161,541.699,540.161,541.04,49.995571,2,20.838959000000017,True,
