target,model,horizon,subset,n,RMSE,MAE,R2
H,persistence,1,all,3543,0.00027,0.0002,0.9992
H,persistence,6,all,3514,0.00131,0.00099,0.9796
H,persistence,24,all,3424,0.00332,0.00255,0.8664
H,persistence,72,all,3184,0.00642,0.00491,0.4508
